id,station,latitude,longitude
1,Abbey Road,51.5319519954729,0.00372337109833635
2,Abbey Wood,51.4907842954371,0.120271970640651
3,Acton Central,51.5087573512534,-0.263430195325689
4,Acton Main Line,51.5168864951629,-0.267689948014248
5,Acton Town,51.5030709863634,-0.280302696832724
6,Addington Village,51.356238539495,-0.032665100332062
7,Addiscombe,51.3798081721677,-0.0732132825198677
8,Albany Park,51.4358158161663,0.126444638720462
9,Aldgate,51.5143422574978,-0.0756269123224863
10,Aldgate East,51.5150815056987,-0.0730014624207396
11,Alexandra Palace,51.598262628606,-0.120148971360812
12,All Saints,51.5104769064124,-0.01262488536035
13,Alperton,51.5412087864384,-0.299515753475578
14,Amersham,51.6741283283427,-0.606513767877791
15,Ampere Way,51.3822992198881,-0.123636798461907
16,Anerley,51.4125166137511,-0.0651370998790191
17,Angel,51.5329678453984,-0.105581448303789
18,Angel Road,51.6124202424758,-0.048732919239143
19,Archway,51.5654903154597,-0.135121575621473
20,Arena,51.3915226589885,-0.0583185498869123
21,Arnos Grove,51.6162299245514,-0.134270217721849
22,Arsenal,51.5585412055997,-0.105499932961186
23,Avenue Road,51.4067979043154,-0.0494469369736634
24,Baker Street,51.5231293660588,-0.156904192986185
25,Balham,51.443182314397,-0.152685161993261
26,Bank,51.5133469191418,-0.0890001234943747
27,Banstead,51.3292927759057,-0.213132333541225
28,Barbican,51.5202151261078,-0.0977215780905023
29,Barking,51.5395212483974,0.0808316104030654
30,Barkingside,51.5858507614628,0.0884766401059263
31,Barnehurst,51.4647805533263,0.160948023946885
32,Barnes,51.4671273786909,-0.242033058624954
33,Barnes Bridge,51.4722276417547,-0.252362613331169
34,Barons Court,51.490228334902,-0.213430142417892
35,Battersea Park,51.4773180830314,-0.148123760392711
36,Battersea Power Station,51.4794963437573,-0.142001351364678
37,Bayswater,51.5121109831796,-0.187901571878205
38,Beckenham Hill,51.4246260335641,-0.0164957619689127
39,Beckenham Junction,51.4109416018847,-0.0257017391145475
40,Beckenham Road,51.4095296798614,-0.043391921968959
41,Beckton,51.5143767330068,0.0615252971597842
42,Beckton Park,51.5089008861867,0.0548219390453979
43,Becontree,51.539585619744,0.126880292693594
44,Beddington Lane,51.3892396514698,-0.142138433190548
45,Belgrave Walk,51.4009613563427,-0.17849647220509
46,Bellingham,51.4338648626461,-0.0204117702937992
47,Belmont,51.344119599942,-0.199489250872962
48,Belsize Park,51.5501906117819,-0.163974491025519
49,Belvedere,51.4919592548785,0.152033793292314
50,Bermondsey,51.4979606775063,-0.0643300898115236
51,Berrylands,51.3987679490215,-0.280321472884522
52,Bethnal Green,51.5271916531221,-0.055392111450162
53,Bethnal Green Rail,51.5242826437105,-0.0600137423991465
54,Bexley,51.4408147761368,0.148203914272993
55,Bexleyheath,51.4635501788196,0.133362966072476
56,Bickley,51.4003796444885,0.0443040316998265
57,Birkbeck,51.4038630046597,-0.0562862355401811
58,Blackfriars,51.511586761695,-0.102995384624505
59,Blackheath,51.4654080272294,0.0083365947125195
60,Blackhorse Lane,51.3847460703676,-0.0705339476144647
61,Blackhorse Road,51.5857765648463,-0.0396257114650528
62,Blackwall,51.507831531335,-0.00723516587766623
63,Bond Street,51.5137972823274,-0.149613608531646
64,Borough,51.5010487177222,-0.0941973226385839
65,Boston Manor,51.4957650058481,-0.324747182622381
66,Bounds Green,51.6070317206175,-0.124177064734796
67,Bow Church,51.5276151727271,-0.0204998991771464
68,Bow Road,51.5270417695097,-0.0243595906326814
69,Bowes Park,51.6072493212509,-0.11979221834416
70,Brent Cross,51.5765988683931,-0.21333583786631
71,Brentford,51.4875358024268,-0.309622531111568
72,Brentwood,51.6136108299031,0.299672821458218
73,Brimsdown,51.6552445662243,-0.0310922768910031
74,Brixton,51.4627366169782,-0.114552096829228
75,Brockley,51.464749603367,-0.0377482504677788
76,Bromley North,51.4089423420678,0.0172354519587102
77,Bromley South,51.4000013198264,0.0173595804973149
78,Bromley-by-Bow,51.5248401837009,-0.0116823743530454
79,Brondesbury,51.5452620328123,-0.202838483342792
80,Brondesbury Park,51.5403250236685,-0.210473944108078
81,Broxbourne,51.7470155527298,-0.0110240837822528
82,Bruce Grove,51.5940111336342,-0.0703989893622801
83,Buckhurst Hill,51.6265767400473,0.0467125414287692
84,Burnham,51.5235039896775,-0.646388208335045
85,Burnt Oak,51.6025514817376,-0.264330708200811
86,Bush Hill Park,51.6414818485445,-0.069280412226131
87,Bushey,51.6455435325774,-0.384721532726082
88,Caledonian Road,51.5478852498281,-0.118360861064695
89,Caledonian Road and Barnsbury,51.5432843893817,-0.115204855948814
